
============================================================================
        Event  : 3 - run:  500106 - timestamp 1603205047000000000 - weight 1
============================================================================
 date:      20.10.2020  14:44:07.000000000
 detector : unknown
 event parameters: 
 parameter Event Number [int]: 3, 
 parameter ProcessID [int]: 500106, 
 parameter Run ID [int]: 500106, 
 parameter beamPDG1 [int]: 11, 
 parameter beamPDG2 [int]: -11, 
 parameter Energy [float]: 250, 
 parameter _weight [float]: 1, 
 parameter alphaQCD [float]: 1e-06, 
 parameter beamPol1 [float]: -1, 
 parameter beamPol2 [float]: 1, 
 parameter crossSection [float]: 10264, 
 parameter crossSectionError [float]: 5.54532, 
 parameter scale [float]: 249.85, 
 parameter sqme [float]: 9.17747e+13, 
 parameter BeamSpectrum [string]: CIRCE2: energy_spread/250_SetA_ee024.circe, 
 parameter processName [string]: sw_sl0, 

 collection name : MCParticle
 parameters: 

--------------- print out of MCParticle collection --------------- 

  flag:  0x0
  simulator status bits: [sbvtcls]  s: created in simulation b: backscatter v: vertex is not endpoint of parent t: decayed in tracker c: decayed in calorimeter l: has left detector s: stopped o: overlay


[   id   ]index|      PDG |    px,     py,        pz    | px_ep,   py_ep , pz_ep      | energy  |gen|[simstat ]| vertex x,     y   ,   z     | endpoint x,    y  ,   z     |    mass |  charge |            spin             | colorflow | [parents] - [daughters]

[00000005]    0|        11| 0.00e+00, 0.00e+00, 1.25e+02| 0.00e+00, 0.00e+00, 0.00e+00| 1.25e+02| 4 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.11e-04|-1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [] - [2,3] 
[00000006]    1|       -11| 0.00e+00, 0.00e+00,-1.25e+02| 0.00e+00, 0.00e+00, 0.00e+00| 1.25e+02| 4 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.11e-04| 1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [] - [2,3] 
[00000007]    2|        11| 0.00e+00, 0.00e+00, 1.25e+02| 0.00e+00, 0.00e+00, 0.00e+00| 1.25e+02| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.11e-04|-1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [0,1] - [4,6] 
[00000008]    3|       -11| 0.00e+00, 0.00e+00,-1.25e+02| 0.00e+00, 0.00e+00, 0.00e+00| 1.25e+02| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.11e-04| 1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [0,1] - [5,7] 
[00000009]    4|        11|-1.02e-15, 5.67e-14, 1.25e+02| 0.00e+00, 0.00e+00, 0.00e+00| 1.25e+02| 3 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.11e-04|-1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [2] - [8,9,10,11] 
[00000010]    5|       -11|-6.52e-07,-1.56e-06,-1.25e+02| 0.00e+00, 0.00e+00, 0.00e+00| 1.25e+02| 3 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.11e-04| 1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [3] - [8,9,10,11] 
[00000011]    6|        22| 1.02e-15,-5.67e-14,-7.68e-14| 0.00e+00, 0.00e+00, 0.00e+00| 9.55e-14| 1 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 1.69e-21| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [2] - [] 
[00000012]    7|        22| 6.52e-07, 1.56e-06,-1.89e-06| 0.00e+00, 0.00e+00, 0.00e+00| 2.54e-06| 1 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 2.84e-14| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [3] - [] 
[00000013]    8|        -2| 6.23e+01,-4.06e+01, 4.85e+01| 0.00e+00, 0.00e+00, 0.00e+00| 8.88e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|-9.54e-07|-6.67e-01| 0.00e+00, 0.00e+00, 1.00e+00|  (0, 1)   | [4,5] - [12] 
[00000014]    9|         1|-2.96e+01, 6.59e+00, 2.63e+01| 0.00e+00, 0.00e+00, 0.00e+00| 4.02e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00|-3.33e-01| 0.00e+00, 0.00e+00,-1.00e+00|  (1, 0)   | [4,5] - [12] 
[00000015]   10|       -11| 7.59e+00, 4.37e+01,-1.22e+01| 0.00e+00, 0.00e+00, 0.00e+00| 4.60e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.11e-04| 1.00e+00| 0.00e+00, 0.00e+00, 1.00e+00|  (0, 0)   | [4,5] - [12] 
[00000016]   11|        12|-4.03e+01,-9.72e+00,-6.24e+01| 0.00e+00, 0.00e+00, 0.00e+00| 7.49e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|-1.35e-06| 0.00e+00| 0.00e+00, 0.00e+00,-1.00e+00|  (0, 0)   | [4,5] - [12] 
[00000017]   12|        94|-6.51e-07,-1.56e-06, 2.14e-01| 0.00e+00, 0.00e+00, 0.00e+00| 2.50e+02| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 2.50e+02| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [8,9,10,11] - [13,14,15,16] 
[00000018]   13|        -2| 5.92e+01,-3.85e+01, 4.61e+01| 0.00e+00, 0.00e+00, 0.00e+00| 9.70e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.79e+01|-6.67e-01| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 500)   | [12] - [17,18] 
[00000019]   14|         1|-2.81e+01, 6.26e+00, 2.50e+01| 0.00e+00, 0.00e+00, 0.00e+00| 3.81e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|-6.74e-07|-3.33e-01| 0.00e+00, 0.00e+00, 0.00e+00|  (500, 501)   | [12] - [29] 
[00000020]   15|       -11| 7.21e+00, 4.15e+01,-1.16e+01| 0.00e+00, 0.00e+00, 0.00e+00| 4.37e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.86e-02| 1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [12] - [19,20] 
[00000021]   16|        12|-3.82e+01,-9.23e+00,-5.92e+01| 0.00e+00, 0.00e+00, 0.00e+00| 7.11e+01| 1 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [12] - [] 
[00000022]   17|        -2| 1.81e+01,-2.02e+01, 4.28e+01| 0.00e+00, 0.00e+00, 0.00e+00| 5.11e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 7.21e+00|-6.67e-01| 0.00e+00, 0.00e+00, 0.00e+00|  (501, 502)   | [13] - [21,22] 
[00000023]   18|        21| 4.11e+01,-1.84e+01, 3.30e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.58e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 8.01e+00| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (502, 503)   | [13] - [23,24] 
[00000024]   19|       -11| 7.21e+00, 4.15e+01,-1.16e+01| 0.00e+00, 0.00e+00, 0.00e+00| 4.37e+01| 1 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.11e-04| 1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [15] - [] 
[00000025]   20|        22|-1.94e-05, 9.86e-05,-1.30e-04| 0.00e+00, 0.00e+00, 0.00e+00| 1.64e-04| 1 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|-2.57e-12| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [15] - [] 
[00000026]   21|        -2| 1.72e+01,-2.00e+01, 4.25e+01| 0.00e+00, 0.00e+00, 0.00e+00| 5.02e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.24e+00|-6.67e-01| 0.00e+00, 0.00e+00, 0.00e+00|  (503, 504)   | [17] - [25,26] 
[00000027]   22|        21| 9.08e-01,-1.93e-01, 2.91e-01| 0.00e+00, 0.00e+00, 0.00e+00| 9.73e-01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|-1.83e-08| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (504, 505)   | [17] - [33] 
[00000028]   23|        21| 2.39e+00,-2.02e+00, 1.71e+00| 0.00e+00, 0.00e+00, 0.00e+00| 3.57e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|-5.96e-08| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (505, 506)   | [18] - [30] 
[00000029]   24|        21| 3.87e+01,-1.64e+01, 1.59e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.23e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.40e+00| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (506, 507)   | [18] - [27,28] 
[00000030]   25|        -2| 1.56e+01,-1.68e+01, 3.44e+01| 0.00e+00, 0.00e+00, 0.00e+00| 4.13e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 8.26e-07|-6.67e-01| 0.00e+00, 0.00e+00, 0.00e+00|  (507, 508)   | [21] - [35] 
[00000031]   26|        21| 1.58e+00,-3.13e+00, 8.09e+00| 0.00e+00, 0.00e+00, 0.00e+00| 8.82e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|-2.06e-07| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (508, 509)   | [21] - [34] 
[00000032]   27|        21| 3.12e+01,-1.28e+01, 2.99e+00| 0.00e+00, 0.00e+00, 0.00e+00| 3.39e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|-4.77e-07| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (509, 510)   | [24] - [32] 
